age,education,education-num,marital-status,occupation,race,sex,hours-per-week,native-country,income
25,11th,7,Never-married,Machine-op-inspct,Black,Male,40,United-States,<=50K
38,HS-grad,9,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,<=50K
28,Assoc-acdm,12,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
44,Some-college,10,Married-civ-spouse,Machine-op-inspct,Black,Male,40,United-States,>50K
18,Some-college,10,Never-married,?,White,Female,30,United-States,<=50K
34,10th,6,Never-married,Other-service,White,Male,30,United-States,<=50K
29,HS-grad,9,Never-married,?,Black,Male,40,United-States,<=50K
63,Prof-school,15,Married-civ-spouse,Prof-specialty,White,Male,32,United-States,>50K
24,Some-college,10,Never-married,Other-service,White,Female,40,United-States,<=50K
55,7th-8th,4,Married-civ-spouse,Craft-repair,White,Male,10,United-States,<=50K
65,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K
36,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
26,HS-grad,9,Never-married,Adm-clerical,White,Female,39,United-States,<=50K
58,HS-grad,9,Married-civ-spouse,?,White,Male,35,United-States,<=50K
48,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,48,United-States,>50K
43,Masters,14,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
20,Some-college,10,Never-married,Other-service,White,Male,25,United-States,<=50K
43,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Female,30,United-States,<=50K
37,HS-grad,9,Widowed,Machine-op-inspct,White,Female,20,United-States,<=50K
40,Doctorate,16,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,45,?,>50K
34,Bachelors,13,Married-civ-spouse,Tech-support,White,Male,47,United-States,>50K
34,Some-college,10,Never-married,Other-service,Black,Female,35,United-States,<=50K
72,7th-8th,4,Divorced,?,White,Female,6,United-States,<=50K
25,Bachelors,13,Never-married,Prof-specialty,White,Male,43,Peru,<=50K
25,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K
45,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,90,United-States,>50K
22,HS-grad,9,Never-married,Adm-clerical,White,Male,20,United-States,<=50K
23,HS-grad,9,Separated,Machine-op-inspct,Black,Male,54,United-States,<=50K
54,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,35,United-States,<=50K
32,Some-college,10,Never-married,Prof-specialty,White,Male,60,United-States,<=50K
46,Some-college,10,Married-civ-spouse,Exec-managerial,Black,Male,38,United-States,>50K
56,11th,7,Widowed,Other-service,White,Female,50,United-States,<=50K
24,Bachelors,13,Never-married,Sales,White,Male,50,United-States,<=50K
23,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,40,United-States,<=50K
26,HS-grad,9,Divorced,Exec-managerial,White,Female,40,United-States,<=50K
65,HS-grad,9,Married-civ-spouse,?,White,Male,40,United-States,<=50K
36,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
22,5th-6th,3,Never-married,Priv-house-serv,White,Male,50,Guatemala,<=50K
17,10th,6,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K
20,HS-grad,9,Never-married,Craft-repair,White,Male,40,United-States,<=50K
65,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
44,Assoc-voc,11,Married-civ-spouse,Sales,White,Male,45,United-States,>50K
36,HS-grad,9,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,<=50K
29,11th,7,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K
20,Some-college,10,Never-married,Farming-fishing,White,Male,32,United-States,<=50K
28,Assoc-voc,11,Married-civ-spouse,Prof-specialty,White,Female,36,United-States,>50K
39,7th-8th,4,Married-civ-spouse,Craft-repair,White,Male,40,Mexico,<=50K
54,Some-college,10,Married-civ-spouse,Transport-moving,White,Male,50,United-States,<=50K
52,11th,7,Separated,Priv-house-serv,Black,Female,18,United-States,<=50K
56,HS-grad,9,Widowed,Exec-managerial,White,Female,50,United-States,<=50K
18,Some-college,10,Never-married,Other-service,White,Male,20,United-States,<=50K
39,HS-grad,9,Divorced,Handlers-cleaners,Black,Male,40,United-States,<=50K
21,Some-college,10,Never-married,Other-service,White,Female,24,United-States,<=50K
22,HS-grad,9,Never-married,Other-service,White,Male,60,United-States,>50K
38,9th,5,Married-spouse-absent,Exec-managerial,White,Male,54,Mexico,<=50K
21,Some-college,10,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
63,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
34,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
42,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
33,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K
30,Bachelors,13,Never-married,Exec-managerial,White,Female,50,United-States,<=50K
39,Some-college,10,Divorced,Sales,White,Male,40,United-States,<=50K
26,Masters,14,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
33,HS-grad,9,Never-married,Machine-op-inspct,White,Female,40,United-States,<=50K
47,HS-grad,9,Divorced,Adm-clerical,White,Female,40,United-States,<=50K
41,Bachelors,13,Never-married,Other-service,White,Female,40,?,<=50K
41,Assoc-acdm,12,Married-civ-spouse,Craft-repair,White,Male,60,United-States,>50K
19,Some-college,10,Never-married,Other-service,White,Male,20,United-States,<=50K
46,HS-grad,9,Separated,Transport-moving,White,Male,40,United-States,<=50K
43,HS-grad,9,Married-civ-spouse,Sales,White,Male,48,United-States,<=50K
55,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
46,Assoc-voc,11,Married-civ-spouse,Tech-support,White,Male,40,United-States,<=50K
30,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,<=50K
21,Some-college,10,Separated,Handlers-cleaners,White,Female,40,United-States,<=50K
46,Some-college,10,Married-civ-spouse,Craft-repair,Other,Male,40,Dominican-Republic,<=50K
17,10th,6,Never-married,?,White,Male,40,United-States,<=50K
41,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,50,United-States,<=50K
69,HS-grad,9,Married-civ-spouse,Sales,White,Male,30,United-States,<=50K
50,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K
20,Some-college,10,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
45,Some-college,10,Married-civ-spouse,Machine-op-inspct,White,Male,50,United-States,<=50K
23,Bachelors,13,Never-married,Exec-managerial,White,Male,40,United-States,<=50K
24,Some-college,10,Separated,Other-service,White,Male,40,United-States,<=50K
44,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,50,?,>50K
31,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,50,United-States,<=50K
43,HS-grad,9,Separated,Machine-op-inspct,White,Female,44,United-States,<=50K
20,11th,7,Never-married,Other-service,White,Female,10,United-States,<=50K
